origin_name,verify_name,('_name' 5),url
歼-16战机,歼-16战机,('歼-16战机' 6),https://baike.baidu.com/item/%E6%AD%BC-16%E6%88%98%E6%9C%BA
FC-1“枭龙”/JF-17“雷电”多用途攻击机,FC-1战斗机,('FC-1' 4),https://baike.baidu.com/item/FC-1%E6%88%98%E6%96%97%E6%9C%BA/2663664
苏-27战斗机,苏-27战斗机,('苏-27战斗机' 7),https://baike.baidu.com/item/%E8%8B%8F-27%E6%88%98%E6%96%97%E6%9C%BA
LCA战斗机,LCA战斗机,('LCA战斗机' 6),https://baike.baidu.com/item/LCA%E6%88%98%E6%96%97%E6%9C%BA
苏-30/苏-33“侧卫” 制空战斗机和对地攻击机,苏-30战斗机,('苏-30' 4),https://baike.baidu.com/item/%E8%8B%8F-30%E6%88%98%E6%96%97%E6%9C%BA/2900403
F-16“战隼”,F-16“战隼”,('F-16“战隼”' 8),https://baike.baidu.com/item/F-16%E2%80%9C%E6%88%98%E9%9A%BC%E2%80%9D
麦克唐纳F-15E“打击鹰” 双座双发打击战斗机,F-15E,('F-15E' 5),/item/F-15E%E2%80%9C%E6%89%93%E5%87%BB%E9%B9%B0%E2%80%9D%20%E6%88%98%E6%96%97%E6%9C%BA
歼-31战斗机,歼-31战斗机,('歼-31战斗机' 7),https://baike.baidu.com/item/%E6%AD%BC-31%E6%88%98%E6%96%97%E6%9C%BA
F-15鹰式战斗机,F-15鹰式战斗机,('F-15鹰式战斗机' 9),https://baike.baidu.com/item/F-15%E9%B9%B0%E5%BC%8F%E6%88%98%E6%96%97%E6%9C%BA
歼-20战斗机,歼-20战斗机,('歼-20战斗机' 7),https://baike.baidu.com/item/%E6%AD%BC-20%E6%88%98%E6%96%97%E6%9C%BA
F-35“闪电II”,F-35“闪电II”,('F-35“闪电II”' 10),https://baike.baidu.com/item/F-35%E2%80%9C%E9%97%AA%E7%94%B5II%E2%80%9D
歼-11战斗机,歼-11战斗机,('歼-11战斗机' 7),https://baike.baidu.com/item/%E6%AD%BC-11%E6%88%98%E6%96%97%E6%9C%BA
P-59“空中彗星”战斗机,P-59战斗机,('P-59' 4),https://baike.baidu.com/item/P-59%E6%88%98%E6%96%97%E6%9C%BA/10414230
P-39“空中眼镜蛇”,P-39,('P-39' 4),https://baike.baidu.com/item/P-39%E6%88%98%E6%96%97%E6%9C%BA/5787421
波音PW-9单座单发双翼战斗机,PW-9战斗机,('PW-9' 4),/item/PW-9%E6%88%98%E6%96%97%E6%9C%BA
贝尔P-63“眼镜蛇王”单翼战斗机,P-63战斗机,('P-63' 4),https://baike.baidu.com/item/P-63%E6%88%98%E6%96%97%E6%9C%BA/9541613
SE 5a/E战斗机,SE,('SE' 2),/item/SE%205aE%E6%88%98%E6%96%97%E6%9C%BA
P-51A,P-51A,('P-51A' 5),/item/P-51A%E6%88%98%E6%96%97%E6%9C%BA
XP-26“玩具枪”单座单翼战斗机,XP-26战斗机,('XP-26' 5),/item/XP-26%E6%88%98%E6%96%97%E6%9C%BA
波音FB-1,FB-1,('FB-1' 4),/item/FB-1%E6%88%98%E6%96%97%E6%9C%BA
“鹰”200轻型多用途战斗机,鹰200战斗机,('200' 3),/item/%E9%B9%B0200%E6%88%98%E6%96%97%E6%9C%BA
歼-7型战斗机,歼-7型战斗机,('歼-7型战斗机' 7),https://baike.baidu.com/item/%E6%AD%BC-7%E5%9E%8B%E6%88%98%E6%96%97%E6%9C%BA
AMX攻击战斗机,AMX攻击机,('AMX攻击' 5),https://baike.baidu.com/item/AMX%E6%94%BB%E5%87%BB%E6%9C%BA/8620314
F/A-18E/F/G“超级大黄蜂”舰载攻击/战斗机,F/A,('F/A' 3),https://baike.baidu.com/item/F%2FA%E2%80%9418E%2FF%E2%80%9C%E8%B6%85%E9%BB%84%E8%9C%82%E2%80%9D%E8%88%B0%E8%BD%BD%E6%88%98%E6%96%97%2F%E6%94%BB%E5%87%BB%E6%9C%BA/15267235
阵风战斗机,阵风战斗机,('阵风战斗机' 5),https://baike.baidu.com/item/%E9%98%B5%E9%A3%8E%E6%88%98%E6%96%97%E6%9C%BA
歼-10战斗机,歼-10战斗机,('歼-10战斗机' 7),https://baike.baidu.com/item/%E6%AD%BC-10%E6%88%98%E6%96%97%E6%9C%BA
幻影F1战斗机,幻影F1战斗机,('幻影F1战斗机' 7),https://baike.baidu.com/item/%E5%B9%BB%E5%BD%B1F1%E6%88%98%E6%96%97%E6%9C%BA
苏-32/苏-33U/苏-34“后卫”远程战斗机/攻击机,苏-34战斗,('苏-34' 4),https://baike.baidu.com/item/%E8%8B%8F-34%E6%88%98%E6%96%97%E8%BD%B0%E7%82%B8%E6%9C%BA/8984766
“幻影”Ⅲ/5/50喷气战斗机,幻影战斗机,('战斗机' 3),https://baike.baidu.com/item/%E5%B9%BB%E5%BD%B1%E6%88%98%E6%96%97%E6%9C%BA/7417924
“幻影”2000防空／多用途战斗机,幻影2000战斗机,('2000' 4),https://baike.baidu.com/item/%E5%B9%BB%E5%BD%B12000%E6%88%98%E6%96%97%E6%9C%BA/6288000
EF2000“台风”战斗机,欧洲EF2000台风战斗机,('EF2000' 6),https://baike.baidu.com/item/%E6%AC%A7%E6%B4%B2EF2000%E5%8F%B0%E9%A3%8E%E6%88%98%E6%96%97%E6%9C%BA/12598604
F9F战斗机,F9F战斗机,('F9F战斗机' 6),https://baike.baidu.com/item/F9F%E6%88%98%E6%96%97%E6%9C%BA
波音F4B-1战斗机,F4B-1战斗机,('F4B-1战斗机' 8),/item/F4B-1%E6%88%98%E6%96%97%E6%9C%BA
“幻影”2000D/N攻击机,幻影2000d/n,('2000' 4),/item/%E5%B9%BB%E5%BD%B12000d%2Fn
EMB-314M（A-29）“超巨嘴鸟” ,A-29,('A-29' 4),https://baike.baidu.com/item/A-29%E2%80%9C%E8%B6%85%E7%BA%A7%E5%B7%A8%E5%98%B4%E9%B8%9F%E2%80%9D/15197839
波音F2B-1战斗机,F2B-1战斗机,('F2B-1战斗机' 8),/item/F2B-1%E6%88%98%E6%96%97%E6%9C%BA
F-14“雄猫”战斗机,F-14“雄猫”战斗机,('F-14“雄猫”战斗机' 11),https://baike.baidu.com/item/F-14%E2%80%9C%E9%9B%84%E7%8C%AB%E2%80%9D%E6%88%98%E6%96%97%E6%9C%BA
洛克希德F-104“星战斗机”,F-104战斗机,('F-104' 5),https://baike.baidu.com/item/F-104%E6%88%98%E6%96%97%E6%9C%BA/3582742
FD/FH“鬼怪”,FD/FH,('FD/FH' 5),/item/FD%2FFH%E2%80%9C%E9%AC%BC%E6%80%AA%E2%80%9D%E8%88%B0%E8%BD%BD%E6%88%98%E6%96%97%E6%9C%BA
F3D/F-10“空中骑士”,F-10,('F-10' 4),/item/F-10%E6%88%98%E6%96%97%E6%9C%BA
F-94“星火”战斗机,F-94“星火”战斗机,('F-94“星火”战斗机' 11),https://baike.baidu.com/item/F-94%E2%80%9C%E6%98%9F%E7%81%AB%E2%80%9D%E6%88%98%E6%96%97%E6%9C%BA
