origin_name,verify_name,url
未来航空母舰,空天,https://baike.baidu.com/item/%E7%A9%BA%E5%A4%A9%E6%AF%8D%E8%88%B0/2783304
“维克兰特”级常规动力航空母舰,<em>维克兰特</em>,https://baike.baidu.com/item/%E7%BB%B4%E5%85%8B%E5%85%B0%E7%89%B9%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/85256
CV-1/AV-3/Langley/兰利号航空母舰,<em>兰利号航母</em>,https://baike.baidu.com/item/%E5%85%B0%E5%88%A9%E5%8F%B7%E8%88%AA%E6%AF%8D/12576692
“查尔·戴高乐”级核动力航空母舰,“,/item/%E2%80%9C%E6%9F%A5%E5%B0%94%C2%B7%E6%88%B4%E9%AB%98%E4%B9%90%E2%80%9D%E7%BA%A7
“尼米兹”级核动力航空母舰,“尼米兹”级核动力航空母舰,https://baike.baidu.com/item/%E2%80%9C%E5%B0%BC%E7%B1%B3%E5%85%B9%E2%80%9D%E7%BA%A7%E6%A0%B8%E5%8A%A8%E5%8A%9B%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0
CVN-77/布什号 航空母舰,<em>布什号航空母舰</em>,https://baike.baidu.com/item/%E5%B8%83%E4%BB%80%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/3747409
“企业”(EnterpriSe)级核动力航空母舰,<em>企业</em>,https://baike.baidu.com/item/%E4%BC%81%E4%B8%9A%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/5351917
“阿斯图里亚斯亲王”级反潜航空母舰,<em>阿斯图里亚斯亲王</em>,https://baike.baidu.com/item/%E9%98%BF%E6%96%AF%E5%9B%BE%E9%87%8C%E4%BA%9A%E6%96%AF%E4%BA%B2%E7%8E%8B%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/10727974
“圣女贞德”级,<em>圣女贞德</em>,/item/%E5%9C%A3%E5%A5%B3%E8%B4%9E%E5%BE%B7%E5%8F%B7%E7%9B%B4%E5%8D%87%E6%9C%BA%E6%AF%8D%E8%88%B0
辽宁舰,辽宁舰,https://baike.baidu.com/item/%E8%BE%BD%E5%AE%81%E8%88%B0
杰拉尔德·R·福特号航空母舰,杰拉尔德·R·福特号航空母舰,https://baike.baidu.com/item/%E6%9D%B0%E6%8B%89%E5%B0%94%E5%BE%B7%C2%B7R%C2%B7%E7%A6%8F%E7%89%B9%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0
“圣·保罗”级常规动力航空母舰,“圣·保罗”级常规动力航空母舰,https://baike.baidu.com/item/%E2%80%9C%E5%9C%A3%C2%B7%E4%BF%9D%E7%BD%97%E2%80%9D%E7%BA%A7%E5%B8%B8%E8%A7%84%E5%8A%A8%E5%8A%9B%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0
差克里-纳吕贝级,<em>差克里</em>,https://baike.baidu.com/item/%E5%B7%AE%E5%85%8B%E9%87%8C%C2%B7%E7%BA%B3%E5%90%95%E8%B4%9D%E7%89%B9%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/3969479
“伊丽莎白女王”级航空母舰,“伊丽莎白女王”级航空母舰,https://baike.baidu.com/item/%E2%80%9C%E4%BC%8A%E4%B8%BD%E8%8E%8E%E7%99%BD%E5%A5%B3%E7%8E%8B%E2%80%9D%E7%BA%A7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0
